,tweet_id,name,dogs_stage,retweet_count,favorite_count,rating,dogs_type,conf
61,750868782890057730,Milo,pupper,1595.0,5306.0,11.0,Toy_Poodle,0.912648
62,672205392827572224,Opal,pupper,1270.0,2414.0,19.0,Pug,0.00326691
63,725786712245440512,Lillie,pupper,1527.0,4537.0,11.0,Chow,0.33576100000000003
64,717009362452090881,Smokey,pupper,1102.0,3583.0,10.0,Siberian_Husky,0.506154
65,882762694511734784,Gus,pupper,5134.0,28903.0,12.0,Labrador_Retriever,0.85005
66,728035342121635841,all,pupper,1872.0,4953.0,12.0,Pomeranian,0.248664
67,672160042234327040,Bubba,pupper,395.0,918.0,18.0,Pug,0.561027
68,742150209887731712,Edmund,pupper,1783.0,5661.0,18.0,French_Bulldog,0.07141439999999999
69,801115127852503040,Bones,pupper,2429.0,8992.0,12.0,Dalmatian,0.823356
70,876838120628539392,Ginger,pupper,3506.0,21125.0,12.0,Bloodhound,0.575751
71,694329668942569472,Grady,pupper,569.0,2203.0,19.0,Boxer,0.99006
72,680836378243002368,Ellie,pupper,1513.0,3766.0,12.0,Pembroke,0.427781
73,822462944365645825,Gabe,pupper,17209.0,31800.0,14.0,Pomeranian,0.960199
74,681654059175129088,Toffee,pupper,1045.0,2903.0,12.0,Pomeranian,0.800538
75,681694085539872773,Bo,pupper,4581.0,14010.0,11.0,Toy_Poodle,0.920992
76,681891461017812993,Charlie,pupper,951.0,2706.0,10.0,Chihuahua,0.20357
77,693095443459342336,Milo,pupper,523.0,2056.0,10.0,Yorkshire_Terrier,0.033487800000000005
78,692905862751522816,Wally,pupper,998.0,2683.0,10.0,Mexican_Hairless,0.162638
79,818588835076603904,Chelsea,pupper,7126.0,0.0,11.0,Norwegian_Elkhound,0.372202
80,678389028614488064,Bella,pupper,473.0,2044.0,11.0,Miniature_Pinscher,0.516284
81,672481316919734272,Jazz,pupper,137.0,757.0,12.0,Border_Collie,0.599454
82,696713835009417216,Trevith,pupper,757.0,2613.0,19.0,Chesapeake_Bay_Retriever,0.321589
83,679777920601223168,Rinna,pupper,1281.0,3390.0,10.0,Bloodhound,0.5288189999999999
84,827933404142436356,Kona,pupper,5987.0,22180.0,12.0,German_Shepherd,0.8061149999999999
85,695095422348574720,just,pupper,684.0,2888.0,12.0,Papillon,0.227784
86,695074328191332352,Lorenzo,pupper,1239.0,3116.0,11.0,Shih-Tzu,0.5101060000000001
87,680145970311643136,Kawhi,pupper,1972.0,3955.0,10.0,Miniature_Poodle,0.457117
88,680473011644985345,Hector,pupper,844.0,2778.0,10.0,Lakeland_Terrier,0.796694
89,833124694597443584,Gidget,pupper,5513.0,22133.0,12.0,Cardigan,0.7105229999999999
90,683111407806746624,Larry,pupper,1034.0,3736.0,10.0,Cocker_Spaniel,0.901392
91,817777686764523521,Dido,pupper,3084.0,11901.0,13.0,Curly-Coated_Retriever,0.733256
92,686377065986265092,Birf,pupper,637.0,2433.0,10.0,German_Shepherd,0.830816
93,807621403335917568,Ollie,pupper,4288.0,16236.0,14.0,Golden_Retriever,0.873233
94,686618349602762752,Olivia,pupper,1544.0,4042.0,11.0,Rottweiler,0.441331
95,686683045143953408,Mona,pupper,912.0,3072.0,11.0,Norwich_Terrier,0.100499
96,689623661272240129,Lucy,pupper,748.0,2467.0,10.0,Toy_Poodle,0.279604
97,687704180304273409,Blakely,pupper,950.0,2660.0,19.0,Miniature_Pinscher,0.956063
98,689143371370250240,Trip,pupper,579.0,2232.0,10.0,English_Springer,0.303781
99,683142553609318400,Brandy,pupper,1173.0,3162.0,19.0,Leonberg,0.605851
100,689905486972461056,Gizmo,pupper,787.0,2651.0,11.0,Pomeranian,0.943331
101,683481228088049664,Banjo,pupper,1118.0,2878.0,11.0,Keeshond,0.508951
102,814986499976527872,Cooper,pupper,1505.0,8485.0,11.0,Dalmatian,0.999828
103,685169283572338688,Gerbald,pupper,1620.0,4489.0,11.0,Bernese_Mountain_Dog,0.975096
104,685268753634967552,Hubertson,pupper,1371.0,3419.0,10.0,Pug,0.999044
105,811386762094317568,Craig,pupper,7444.0,23302.0,11.0,Pembroke,0.804177
106,685641971164143616,Otis,pupper,885.0,3218.0,17.0,Lakeland_Terrier,0.253839
107,685943807276412928,the,pupper,696.0,1801.0,18.0,Papillon,0.200812
108,765371061932261376,Louie,pupper,2475.0,7842.0,11.0,Golden_Retriever,0.829456
109,673919437611909120,Obie,pupper,401.0,1251.0,11.0,Schipperke,0.115984
110,673956914389192708,one,pupper,1069.0,2091.0,10.0,Pug,0.5861609999999999
111,674038233588723717,Kaiya,pupper,456.0,1176.0,12.0,Eskimo_Dog,0.358459
112,705975130514706432,Adele,pupper,842.0,3397.0,10.0,Staffordshire_Bullterrier,0.5877640000000001
113,674262580978937856,Gus,pupper,498.0,1391.0,19.0,Greater_Swiss_Mountain_Dog,0.519428
114,705428427625635840,Ambrose,pupper,1931.0,4188.0,11.0,Chihuahua,0.774792
115,673707060090052608,Raymond,pupper,434.0,1177.0,10.0,German_Short-Haired_Pointer,0.935771
116,770093767776997377,just,pupper,3520.0,0.0,12.0,Golden_Retriever,0.843799
117,674737130913071104,Rufio,pupper,103.0,693.0,10.0,Pomeranian,0.948537
118,704347321748819968,Ralphson,pupper,393.0,1729.0,10.0,Brittany_Spaniel,0.0829173
119,674774481756377088,Superpup,pupper,532.0,1213.0,11.0,Chihuahua,0.407016
120,703611486317502464,Scooter,pupper,1709.0,4229.0,10.0,Pembroke,0.756441
121,675006312288268288,Mollie,pupper,252.0,1057.0,10.0,Boxer,0.654697
122,704859558691414016,a,pupper,612.0,2462.0,10.0,Pug,0.284428
123,850019790995546112,Boomer,pupper,5459.0,21944.0,12.0,Shetland_Sheepdog,0.759907
124,707315916783140866,Finnegus,pupper,727.0,2698.0,10.0,Bernese_Mountain_Dog,0.979235
125,759793422261743616,Maggie,pupper,2173.0,6620.0,12.0,Golden_Retriever,0.985876
126,672594978741354496,Scott,pupper,661.0,1411.0,19.0,Great_Pyrenees,0.755945
